date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:42:51	153837/153837	---MCZ	200	added ('OK')	text/html	etag:W/%22a75ecb24acfba7c5052291b4204739c9%22	https://www.hyperframe.com/	C:/Users/dell/Desktop/barath/con1/www.hyperframe.com/index.html	(from )
15:42:51	95/95	---M--	200	added ('OK')	text/plain	etag:%22bd42dfa9719037578dcf1edf27a92cf3%22	https://www.hyperframe.com/robots.txt		(from )
15:42:53	50230/50230	---MC-	200	added ('OK')	text/javascript	date:Tue,%2027%20Sep%202022%2022:01:05%20GMT	https://www.google-analytics.com/analytics.js	C:/Users/dell/Desktop/barath/con1/www.google-analytics.com/analytics.js	(from https://www.hyperframe.com/)
15:42:53	3254/3254	---M--	200	added ('OK')	image/png	etag:%226780f0c8532387a30dcb56bb9d65440c%22	https://www.hyperframe.com/assets/img/favicon-256.png	C:/Users/dell/Desktop/barath/con1/www.hyperframe.com/assets/img/favicon-256.png	(from https://www.hyperframe.com/)
15:42:55	313/313	---M--	302	error ('Moved%20Temporarily')	text/html	date:Thu,%2027%20Oct%202022%2010:12:54%20GMT	https://www.hyperframe.com/ie	C:/Users/dell/Desktop/barath/con1/www.hyperframe.com/ie	(from https://www.hyperframe.com/)
15:42:55	313/313	---M--	302	error ('Moved%20Temporarily')	text/html	date:Thu,%2027%20Oct%202022%2010:12:54%20GMT	https://www.hyperframe.com/installation	C:/Users/dell/Desktop/barath/con1/www.hyperframe.com/installation	(from https://www.hyperframe.com/)
15:42:56	104050/104050	---MCZ	200	added ('OK')	text/css	etag:W/%22a812dcea7461c6801e633eec7398e80e%22	https://www.hyperframe.com/css/home/home.css?build=03212022-01	C:/Users/dell/Desktop/barath/con1/www.hyperframe.com/css/home/homec43a.css	(from https://www.hyperframe.com/)
15:42:56	313/313	---M--	302	error ('Moved%20Temporarily')	text/html	date:Thu,%2027%20Oct%202022%2010:12:55%20GMT	https://www.hyperframe.com/about	C:/Users/dell/Desktop/barath/con1/www.hyperframe.com/about.5.delayed	(from https://www.hyperframe.com/)
15:42:57	16194/16194	---M--	200	added ('OK')	image/jpeg	etag:%22e566f20951bbf7769cce910a36c6f6fc%22	https://www.hyperframe.com/assets/img/sequence/00-intro-mobile/Section1_00001.jpg	C:/Users/dell/Desktop/barath/con1/www.hyperframe.com/assets/img/sequence/00-intro-mobile/Section1_00001.jpg	(from https://www.hyperframe.com/)
15:42:58	36667/36667	---MCZ	200	added ('OK')	text/html	etag:W/%229fa602845254ea81ed493fbe8f50c866%22	https://www.hyperframe.com/about/	C:/Users/dell/Desktop/barath/con1/www.hyperframe.com/about/index.html	(from https://www.hyperframe.com/)
15:42:58	16191/16191	---M--	200	added ('OK')	image/jpeg	etag:%22449266503a220e792cee06aa5d74f5c2%22	https://www.hyperframe.com/assets/img/sequence/00-intro-mobile/Section1_00002.jpg	C:/Users/dell/Desktop/barath/con1/www.hyperframe.com/assets/img/sequence/00-intro-mobile/Section1_00002.jpg	(from https://www.hyperframe.com/)
15:42:59	131306/131306	---MCZ	200	added ('OK')	text/html	etag:W/%229dfdaccd5cb71bc150c411018ce7735b%22	https://www.hyperframe.com/installation/	C:/Users/dell/Desktop/barath/con1/www.hyperframe.com/installation/index.html	(from https://www.hyperframe.com/)
15:42:59	16051/16051	---M--	200	added ('OK')	image/jpeg	etag:%22d44b7e0d770f30054edcd4eff494ae84%22	https://www.hyperframe.com/assets/img/sequence/00-intro-mobile/Section1_00003.jpg	C:/Users/dell/Desktop/barath/con1/www.hyperframe.com/assets/img/sequence/00-intro-mobile/Section1_00003.jpg	(from https://www.hyperframe.com/)
15:43:00	16290/16290	---M--	200	added ('OK')	image/jpeg	etag:%221f8a7e6e6e502d8c9aad861a7eaf6d09%22	https://www.hyperframe.com/assets/img/sequence/00-intro-mobile/Section1_00004.jpg	C:/Users/dell/Desktop/barath/con1/www.hyperframe.com/assets/img/sequence/00-intro-mobile/Section1_00004.jpg	(from https://www.hyperframe.com/)
15:43:00	16382/16382	---M--	200	added ('OK')	image/jpeg	etag:%2294cd984383890435f1e755c7fea79eca%22	https://www.hyperframe.com/assets/img/sequence/00-intro-mobile/Section1_00005.jpg	C:/Users/dell/Desktop/barath/con1/www.hyperframe.com/assets/img/sequence/00-intro-mobile/Section1_00005.jpg	(from https://www.hyperframe.com/)
15:43:00	16380/16380	---M--	200	added ('OK')	image/jpeg	etag:%222f69db6d4b7c30de562f83b224127ac5%22	https://www.hyperframe.com/assets/img/sequence/00-intro-mobile/Section1_00006.jpg	C:/Users/dell/Desktop/barath/con1/www.hyperframe.com/assets/img/sequence/00-intro-mobile/Section1_00006.jpg	(from https://www.hyperframe.com/)
15:43:01	16417/16417	---M--	200	added ('OK')	image/jpeg	etag:%22001bcd1b236749e4b84fdd34341b86c9%22	https://www.hyperframe.com/assets/img/sequence/00-intro-mobile/Section1_00007.jpg	C:/Users/dell/Desktop/barath/con1/www.hyperframe.com/assets/img/sequence/00-intro-mobile/Section1_00007.jpg	(from https://www.hyperframe.com/)
15:43:01	16161/16161	---M--	200	added ('OK')	image/jpeg	etag:%223b248c12b5688823680369d2dfa17b5a%22	https://www.hyperframe.com/assets/img/sequence/00-intro-mobile/Section1_00008.jpg	C:/Users/dell/Desktop/barath/con1/www.hyperframe.com/assets/img/sequence/00-intro-mobile/Section1_00008.jpg	(from https://www.hyperframe.com/)
15:43:03	16561/16561	---M--	200	added ('OK')	image/jpeg	etag:%22d6c110dd718d3872927a37bdfbd1ef2a%22	https://www.hyperframe.com/assets/img/sequence/00-intro-mobile/Section1_00009.jpg	C:/Users/dell/Desktop/barath/con1/www.hyperframe.com/assets/img/sequence/00-intro-mobile/Section1_00009.jpg	(from https://www.hyperframe.com/)
15:43:04	16464/16464	---M--	200	added ('OK')	image/jpeg	etag:%224652e79b7337edff93a56da3a2317ed3%22	https://www.hyperframe.com/assets/img/sequence/00-intro-mobile/Section1_00010.jpg	C:/Users/dell/Desktop/barath/con1/www.hyperframe.com/assets/img/sequence/00-intro-mobile/Section1_00010.jpg	(from https://www.hyperframe.com/)
15:43:04	16536/16536	---M--	200	added ('OK')	image/jpeg	etag:%22e4429e88af831662a36aace08ca96b04%22	https://www.hyperframe.com/assets/img/sequence/00-intro-mobile/Section1_00011.jpg	C:/Users/dell/Desktop/barath/con1/www.hyperframe.com/assets/img/sequence/00-intro-mobile/Section1_00011.jpg	(from https://www.hyperframe.com/)
15:43:05	16501/16501	---M--	200	added ('OK')	image/jpeg	etag:%22a72044e738ce7e850052e27bbbdbb7b4%22	https://www.hyperframe.com/assets/img/sequence/00-intro-mobile/Section1_00012.jpg	C:/Users/dell/Desktop/barath/con1/www.hyperframe.com/assets/img/sequence/00-intro-mobile/Section1_00012.jpg	(from https://www.hyperframe.com/)
